id,coll_sn,coll_msg_size_bytes,mean_coll_busbw_gbs,log_count,n_ranks,nnodes,coll_start_timestamp_us,coll_end_timestamp_us,coll_duration_us,human_readable_coll_msg_size_bytes,coll_start_datetime,coll_end_datetime,coll_duration_human
0xaa498efb3b18bc,0,1024,0.06984233333333333,3,[4],[1],1766407620016192,1766407620018451,2259,1.02KB,2025-12-22 20:47:00.016,2025-12-22 20:47:00.018,2.3ms
0xaa498efb3b18bc,210,1024,0.14181175000000001,4,[4],[1],1766407625415478,1766407625415498,20,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,20.0μs
0xaa498efb3b18bc,211,1024,0.49737133333333333,3,[4],[1],1766407625415554,1766407625415565,11,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,11.0μs
0xaa498efb3b18bc,212,1024,0.219429,1,[4],[1],1766407625415573,1766407625415573,0,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,0.0μs
0xaa498efb3b18bc,214,1024,0.2938433333333333,3,[4],[1],1766407625415627,1766407625415638,11,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,11.0μs
0xaa498efb3b18bc,215,1024,0.146286,1,[4],[1],1766407625415646,1766407625415646,0,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,0.0μs
0xaa498efb3b18bc,217,1024,0.3637893333333333,3,[4],[1],1766407625415700,1766407625415711,11,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,11.0μs
0xaa498efb3b18bc,218,1024,0.170667,1,[4],[1],1766407625415719,1766407625415719,0,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,0.0μs
0xaa498efb3b18bc,220,1024,0.2633145,4,[4],[1],1766407625415771,1766407625415791,20,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,20.0μs
0xaa498efb3b18bc,223,1024,0.3328,3,[4],[1],1766407625415844,1766407625415856,12,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,12.0μs
0xaa498efb3b18bc,224,1024,0.161684,1,[4],[1],1766407625415863,1766407625415863,0,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,0.0μs
0xaa498efb3b18bc,226,1024,0.27542066666666665,3,[4],[1],1766407625415916,1766407625415928,12,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,12.0μs
0xaa498efb3b18bc,227,1024,0.1536,1,[4],[1],1766407625415936,1766407625415936,0,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.415,0.0μs
0xaa498efb3b18bc,229,1024,0.186353,2,[4],[1],1766407625415993,1766407625416001,8,1.02KB,2025-12-22 20:47:05.415,2025-12-22 20:47:05.416,8.0μs
0xaa498efb3b18bc,230,1024,0.388042,2,[4],[1],1766407625416002,1766407625416025,23,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,23.0μs
0xaa498efb3b18bc,232,1024,0.161684,1,[4],[1],1766407625416065,1766407625416065,0,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,0.0μs
0xaa498efb3b18bc,233,1024,0.3925335,2,[4],[1],1766407625416074,1766407625416075,1,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,1.0μs
0xaa498efb3b18bc,234,1024,0.180706,1,[4],[1],1766407625416097,1766407625416097,0,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,0.0μs
0xaa498efb3b18bc,235,1024,0.453818,2,[4],[1],1766407625416147,1766407625416151,4,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,4.0μs
0xaa498efb3b18bc,236,1024,0.115966,2,[4],[1],1766407625416161,1766407625416168,7,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,7.0μs
0xaa498efb3b18bc,238,1024,0.457143,2,[4],[1],1766407625416219,1766407625416223,4,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,4.0μs
0xaa498efb3b18bc,239,1024,0.146618,2,[4],[1],1766407625416233,1766407625416240,7,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,7.0μs
0xaa498efb3b18bc,241,1024,0.37701799999999996,2,[4],[1],1766407625416291,1766407625416294,3,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,3.0μs
0xaa498efb3b18bc,242,1024,0.128,2,[4],[1],1766407625416305,1766407625416312,7,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,7.0μs
0xaa498efb3b18bc,245,1024,0.3637893333333333,3,[4],[1],1766407625416363,1766407625416377,14,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,14.0μs
0xaa498efb3b18bc,246,1024,0.219429,1,[4],[1],1766407625416384,1766407625416384,0,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,0.0μs
0xaa498efb3b18bc,248,1024,0.41691449999999997,2,[4],[1],1766407625416434,1766407625416438,4,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,4.0μs
0xaa498efb3b18bc,249,1024,0.2121145,2,[4],[1],1766407625416450,1766407625416456,6,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,6.0μs
0xaa498efb3b18bc,252,1024,0.40959999999999996,2,[4],[1],1766407625416506,1766407625416509,3,1.02KB,2025-12-22 20:47:05.416,2025-12-22 20:47:05.416,3.0μs
