id,coll_sn,coll_msg_size_bytes,mean_coll_busbw_gbs,log_count,n_ranks,nnodes,coll_start_timestamp_us,coll_end_timestamp_us,coll_duration_us,human_readable_coll_msg_size_bytes,coll_start_datetime,coll_end_datetime,coll_duration_human
0x141f971a045e44,190,2147483648,12.677872500000001,4,[4],[1],1766406953994693,1766406953995038,345,2.15GB,2025-12-22 20:35:53.994,2025-12-22 20:35:53.995,345.0μs
0x141f971a045e44,191,2147483648,12.592282749999999,4,[4],[1],1766406954250463,1766406954250851,388,2.15GB,2025-12-22 20:35:54.250,2025-12-22 20:35:54.250,388.0μs
0x141f971a045e44,192,2147483648,12.653917250000001,4,[4],[1],1766406954505012,1766406954505406,394,2.15GB,2025-12-22 20:35:54.505,2025-12-22 20:35:54.505,394.0μs
0x141f971a045e44,193,2147483648,12.5741815,4,[4],[1],1766406954761154,1766406954761567,413,2.15GB,2025-12-22 20:35:54.761,2025-12-22 20:35:54.761,413.0μs
0x141f971a045e44,194,2147483648,12.591938,4,[4],[1],1766406955016958,1766406955017380,422,2.15GB,2025-12-22 20:35:55.016,2025-12-22 20:35:55.017,422.0μs
0x141f971a045e44,195,2147483648,12.5874355,4,[4],[1],1766406955272924,1766406955273327,403,2.15GB,2025-12-22 20:35:55.272,2025-12-22 20:35:55.273,403.0μs
0x141f971a045e44,196,2147483648,12.664078750000002,4,[4],[1],1766406955527185,1766406955527655,470,2.15GB,2025-12-22 20:35:55.527,2025-12-22 20:35:55.527,470.0μs
0x141f971a045e44,197,2147483648,12.602961250000002,4,[4],[1],1766406955782806,1766406955783199,393,2.15GB,2025-12-22 20:35:55.782,2025-12-22 20:35:55.783,393.0μs
0x141f971a045e44,198,2147483648,12.68985925,4,[4],[1],1766406956036633,1766406956037039,406,2.15GB,2025-12-22 20:35:56.036,2025-12-22 20:35:56.037,406.0μs
0x141f971a045e44,199,2147483648,12.6134975,4,[4],[1],1766406956292006,1766406956292384,378,2.15GB,2025-12-22 20:35:56.292,2025-12-22 20:35:56.292,378.0μs
0x141f971a045e44,2148,2147483648,12.650044000000001,4,[4],[1],1766406987770870,1766406987771156,286,2.15GB,2025-12-22 20:36:27.770,2025-12-22 20:36:27.771,286.0μs
0x141f971a045e44,2149,2147483648,12.62779175,4,[4],[1],1766406988026150,1766406988026536,386,2.15GB,2025-12-22 20:36:28.026,2025-12-22 20:36:28.026,386.0μs
0x141f971a045e44,2150,2147483648,12.603183,4,[4],[1],1766406988281716,1766406988282111,395,2.15GB,2025-12-22 20:36:28.281,2025-12-22 20:36:28.282,395.0μs
0x141f971a045e44,2151,2147483648,12.64220925,4,[4],[1],1766406988536463,1766406988536929,466,2.15GB,2025-12-22 20:36:28.536,2025-12-22 20:36:28.536,466.0μs
