id,coll_sn,coll_msg_size_bytes,mean_coll_busbw_gbs,log_count,n_ranks,nnodes,coll_start_timestamp_us,coll_end_timestamp_us,coll_duration_us,human_readable_coll_msg_size_bytes,coll_start_datetime,coll_end_datetime,coll_duration_human
0x141f971a045e44,15,8192,0.121663,1,[4],[1],1766406951180393,1766406951180393,0,8.19KB,2025-12-22 20:35:51.180,2025-12-22 20:35:51.180,0.0μs
0x141f971a045e44,16,8192,0.6144,1,[4],[1],1766406951178754,1766406951178754,0,8.19KB,2025-12-22 20:35:51.178,2025-12-22 20:35:51.178,0.0μs
0x141f971a045e44,312,8192,0.685511,4,[4],[1],1766406961393236,1766406961393276,40,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,40.0μs
0x141f971a045e44,314,8192,0.9102223333333334,3,[4],[1],1766406961393315,1766406961393319,4,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,4.0μs
0x141f971a045e44,315,8192,0.472615,1,[4],[1],1766406961393348,1766406961393348,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,317,8192,0.7996953333333332,3,[4],[1],1766406961393387,1766406961393392,5,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,5.0μs
0x141f971a045e44,318,8192,0.558545,1,[4],[1],1766406961393419,1766406961393419,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,319,8192,0.512,1,[4],[1],1766406961393463,1766406961393463,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,320,8192,0.9386665,2,[4],[1],1766406961393466,1766406961393468,2,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,2.0μs
0x141f971a045e44,321,8192,0.558545,1,[4],[1],1766406961393500,1766406961393500,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,322,8192,0.8363403333333332,3,[4],[1],1766406961393535,1766406961393540,5,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,5.0μs
0x141f971a045e44,324,8192,0.585143,1,[4],[1],1766406961393572,1766406961393572,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,325,8192,0.682667,1,[4],[1],1766406961393608,1766406961393608,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,326,8192,0.9069714999999999,2,[4],[1],1766406961393610,1766406961393612,2,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,2.0μs
0x141f971a045e44,327,8192,0.423724,1,[4],[1],1766406961393645,1766406961393645,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,328,8192,0.7996953333333332,3,[4],[1],1766406961393681,1766406961393685,4,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,4.0μs
0x141f971a045e44,329,8192,0.585143,1,[4],[1],1766406961393718,1766406961393718,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,331,8192,0.8549586666666666,3,[4],[1],1766406961393754,1766406961393758,4,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,4.0μs
0x141f971a045e44,332,8192,0.585143,1,[4],[1],1766406961393791,1766406961393791,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,334,8192,0.8527346666666666,3,[4],[1],1766406961393826,1766406961393830,4,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,4.0μs
0x141f971a045e44,336,8192,0.646737,1,[4],[1],1766406961393863,1766406961393863,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,337,8192,0.758935,3,[4],[1],1766406961393899,1766406961393909,10,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,10.0μs
0x141f971a045e44,338,8192,0.558545,1,[4],[1],1766406961393936,1766406961393936,0,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,0.0μs
0x141f971a045e44,340,8192,0.8527346666666666,3,[4],[1],1766406961393972,1766406961393981,9,8.19KB,2025-12-22 20:36:01.393,2025-12-22 20:36:01.393,9.0μs
0x141f971a045e44,341,8192,0.585143,1,[4],[1],1766406961394008,1766406961394008,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,343,8192,0.8299789999999999,3,[4],[1],1766406961394046,1766406961394055,9,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,9.0μs
0x141f971a045e44,344,8192,0.682667,1,[4],[1],1766406961394079,1766406961394079,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,346,8192,0.7996953333333332,3,[4],[1],1766406961394128,1766406961394129,1,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,1.0μs
0x141f971a045e44,348,8192,0.877714,1,[4],[1],1766406961394161,1766406961394161,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,350,8192,0.877714,1,[4],[1],1766406961394201,1766406961394201,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,351,8192,1.0532569999999999,2,[4],[1],1766406961394203,1766406961394203,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,352,8192,1.024,1,[4],[1],1766406961394233,1766406961394233,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,354,8192,0.8094476666666667,3,[4],[1],1766406961394274,1766406961394276,2,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,2.0μs
0x141f971a045e44,356,8192,1.024,1,[4],[1],1766406961394307,1766406961394307,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,358,8192,0.9984,2,[4],[1],1766406961394349,1766406961394350,1,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,1.0μs
0x141f971a045e44,359,8192,0.877714,1,[4],[1],1766406961394351,1766406961394351,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,360,8192,0.945231,1,[4],[1],1766406961394379,1766406961394379,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,362,8192,1.0627593333333334,3,[4],[1],1766406961394422,1766406961394424,2,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,2.0μs
0x141f971a045e44,363,8192,0.8192,1,[4],[1],1766406961394450,1766406961394450,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,364,8192,1.1915636666666665,3,[4],[1],1766406961394494,1766406961394497,3,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,3.0μs
0x141f971a045e44,365,8192,0.8192,1,[4],[1],1766406961394522,1766406961394522,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
0x141f971a045e44,367,8192,0.9116313333333332,3,[4],[1],1766406961394567,1766406961394577,10,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,10.0μs
0x141f971a045e44,368,8192,0.438857,1,[4],[1],1766406961394594,1766406961394594,0,8.19KB,2025-12-22 20:36:01.394,2025-12-22 20:36:01.394,0.0μs
