id,coll_sn,coll_msg_size_bytes,mean_coll_busbw_gbs,log_count,n_ranks,nnodes,coll_start_timestamp_us,coll_end_timestamp_us,coll_duration_us,human_readable_coll_msg_size_bytes,coll_start_datetime,coll_end_datetime,coll_duration_human
0x49d24d271927e8,30,1073741824,4.823779,2,[2],[1],1766473249842988,1766473249843360,372,1.07GB,2025-12-23 15:00:49.842,2025-12-23 15:00:49.843,372.0μs
0x49d24d271927e8,31,1073741824,4.810014000000001,2,[2],[1],1766473250066210,1766473250066613,403,1.07GB,2025-12-23 15:00:50.066,2025-12-23 15:00:50.066,403.0μs
0x49d24d271927e8,32,1073741824,4.8181075,2,[2],[1],1766473250289135,1766473250289450,315,1.07GB,2025-12-23 15:00:50.289,2025-12-23 15:00:50.289,315.0μs
0x49d24d271927e8,33,1073741824,4.822945,2,[2],[1],1766473250511736,1766473250512110,374,1.07GB,2025-12-23 15:00:50.511,2025-12-23 15:00:50.512,374.0μs
0x49d24d271927e8,34,1073741824,4.8073005,2,[2],[1],1766473250735092,1766473250735413,321,1.07GB,2025-12-23 15:00:50.735,2025-12-23 15:00:50.735,321.0μs
0x49d24d271927e8,35,1073741824,4.8095725,2,[2],[1],1766473250958343,1766473250958711,368,1.07GB,2025-12-23 15:00:50.958,2025-12-23 15:00:50.958,368.0μs
0x49d24d271927e8,36,1073741824,4.8274445,2,[2],[1],1766473251180809,1766473251181133,324,1.07GB,2025-12-23 15:00:51.180,2025-12-23 15:00:51.181,324.0μs
0x49d24d271927e8,37,1073741824,4.8264245,2,[2],[1],1766473251403254,1766473251403628,374,1.07GB,2025-12-23 15:00:51.403,2025-12-23 15:00:51.403,374.0μs
0x49d24d271927e8,38,1073741824,4.8239525,2,[2],[1],1766473251625844,1766473251626211,367,1.07GB,2025-12-23 15:00:51.625,2025-12-23 15:00:51.626,367.0μs
0x49d24d271927e8,39,1073741824,4.8236705,2,[2],[1],1766473251848499,1766473251848732,233,1.07GB,2025-12-23 15:00:51.848,2025-12-23 15:00:51.848,233.0μs
0x49d24d271927e8,346,1073741824,4.828053499999999,2,[2],[1],1766473271920596,1766473271920865,269,1.07GB,2025-12-23 15:01:11.920,2025-12-23 15:01:11.920,269.0μs
0x49d24d271927e8,347,1073741824,4.8003505,2,[2],[1],1766473272144488,1766473272144808,320,1.07GB,2025-12-23 15:01:12.144,2025-12-23 15:01:12.144,320.0μs
0x49d24d271927e8,348,1073741824,4.8220785,2,[2],[1],1766473272367146,1766473272367523,377,1.07GB,2025-12-23 15:01:12.367,2025-12-23 15:01:12.367,377.0μs
0x49d24d271927e8,349,1073741824,4.8294630000000005,2,[2],[1],1766473272589458,1766473272589827,369,1.07GB,2025-12-23 15:01:12.589,2025-12-23 15:01:12.589,369.0μs
0x49d24d271927e8,350,1073741824,4.8306695,2,[2],[1],1766473272811747,1766473272812166,419,1.07GB,2025-12-23 15:01:12.811,2025-12-23 15:01:12.812,419.0μs
0x49d24d271927e8,351,1073741824,4.815202,2,[2],[1],1766473273034774,1766473273035101,327,1.07GB,2025-12-23 15:01:13.034,2025-12-23 15:01:13.035,327.0μs
0x49d24d271927e8,352,1073741824,4.8119755,2,[2],[1],1766473273257885,1766473273258246,361,1.07GB,2025-12-23 15:01:13.257,2025-12-23 15:01:13.258,361.0μs
0x49d24d271927e8,353,1073741824,4.8118675,2,[2],[1],1766473273481081,1766473273481396,315,1.07GB,2025-12-23 15:01:13.481,2025-12-23 15:01:13.481,315.0μs
0x49d24d271927e8,354,1073741824,4.8294525,2,[2],[1],1766473273703414,1766473273703738,324,1.07GB,2025-12-23 15:01:13.703,2025-12-23 15:01:13.703,324.0μs
0x49d24d271927e8,355,1073741824,4.81787,2,[2],[1],1766473273926290,1766473273926608,318,1.07GB,2025-12-23 15:01:13.926,2025-12-23 15:01:13.926,318.0μs
0x49d24d271927e8,356,1073741824,4.8174589999999995,2,[2],[1],1766473274149132,1766473274149507,375,1.07GB,2025-12-23 15:01:14.149,2025-12-23 15:01:14.149,375.0μs
0x49d24d271927e8,357,1073741824,4.8027745,2,[2],[1],1766473274372708,1766473274373081,373,1.07GB,2025-12-23 15:01:14.372,2025-12-23 15:01:14.373,373.0μs
0x49d24d271927e8,358,1073741824,4.833681500000001,2,[2],[1],1766473274594827,1766473274595253,426,1.07GB,2025-12-23 15:01:14.594,2025-12-23 15:01:14.595,426.0μs
0x49d24d271927e8,359,1073741824,4.8336045,2,[2],[1],1766473274817028,1766473274817345,317,1.07GB,2025-12-23 15:01:14.817,2025-12-23 15:01:14.817,317.0μs
0x49d24d271927e8,360,1073741824,4.827422,2,[2],[1],1766473275039418,1766473275039809,391,1.07GB,2025-12-23 15:01:15.039,2025-12-23 15:01:15.039,391.0μs
0x49d24d271927e8,361,1073741824,4.8025915,2,[2],[1],1766473275263040,1766473275263359,319,1.07GB,2025-12-23 15:01:15.263,2025-12-23 15:01:15.263,319.0μs
0x49d24d271927e8,362,1073741824,4.833844,2,[2],[1],1766473275485145,1766473275485503,358,1.07GB,2025-12-23 15:01:15.485,2025-12-23 15:01:15.485,358.0μs
0x49d24d271927e8,363,1073741824,4.833975000000001,2,[2],[1],1766473275707307,1766473275707629,322,1.07GB,2025-12-23 15:01:15.707,2025-12-23 15:01:15.707,322.0μs
0x49d24d271927e8,364,1073741824,4.813054,2,[2],[1],1766473275930401,1766473275930728,327,1.07GB,2025-12-23 15:01:15.930,2025-12-23 15:01:15.930,327.0μs
0x49d24d271927e8,365,1073741824,4.812677,2,[2],[1],1766473276153512,1766473276153829,317,1.07GB,2025-12-23 15:01:16.153,2025-12-23 15:01:16.153,317.0μs
0x49d24d271927e8,366,1073741824,4.8239415,2,[2],[1],1766473276376059,1766473276376486,427,1.07GB,2025-12-23 15:01:16.376,2025-12-23 15:01:16.376,427.0μs
