id,coll_sn,coll_msg_size_bytes,mean_coll_busbw_gbs,log_count,n_ranks,nnodes,coll_start_timestamp_us,coll_end_timestamp_us,coll_duration_us,human_readable_coll_msg_size_bytes,coll_start_datetime,coll_end_datetime,coll_duration_human
0x657fbeaf5b431a,0,134217728,7.7088325,2,[2],[1],1766473247631403,1766473247631584,181,134.22MB,2025-12-23 15:00:47.631,2025-12-23 15:00:47.631,181.0μs
0x657fbeaf5b431a,1,134217728,9.0191005,2,[2],[1],1766473247646255,1766473247646464,209,134.22MB,2025-12-23 15:00:47.646,2025-12-23 15:00:47.646,209.0μs
0x657fbeaf5b431a,2,134217728,9.062947999999999,2,[2],[1],1766473247661105,1766473247661289,184,134.22MB,2025-12-23 15:00:47.661,2025-12-23 15:00:47.661,184.0μs
0x657fbeaf5b431a,3,134217728,7.060776000000001,2,[2],[1],1766473247682231,1766473247682294,63,134.22MB,2025-12-23 15:00:47.682,2025-12-23 15:00:47.682,63.0μs
0x657fbeaf5b431a,4,134217728,4.7310615,2,[2],[1],1766473247708439,1766473247708712,273,134.22MB,2025-12-23 15:00:47.708,2025-12-23 15:00:47.708,273.0μs
0x657fbeaf5b431a,5,134217728,4.722993499999999,2,[2],[1],1766473247736867,1766473247737087,220,134.22MB,2025-12-23 15:00:47.736,2025-12-23 15:00:47.737,220.0μs
0x657fbeaf5b431a,6,134217728,4.6972075,2,[2],[1],1766473247765402,1766473247765669,267,134.22MB,2025-12-23 15:00:47.765,2025-12-23 15:00:47.765,267.0μs
0x657fbeaf5b431a,7,134217728,4.751157,2,[2],[1],1766473247793675,1766473247793995,320,134.22MB,2025-12-23 15:00:47.793,2025-12-23 15:00:47.793,320.0μs
0x657fbeaf5b431a,8,134217728,4.722584,2,[2],[1],1766473247822153,1766473247822341,188,134.22MB,2025-12-23 15:00:47.822,2025-12-23 15:00:47.822,188.0μs
0x657fbeaf5b431a,9,134217728,4.7119634999999995,2,[2],[1],1766473247850663,1766473247850772,109,134.22MB,2025-12-23 15:00:47.850,2025-12-23 15:00:47.850,109.0μs
0x657fbeaf5b431a,40,134217728,4.6645795,2,[2],[1],1766473251833384,1766473251833529,145,134.22MB,2025-12-23 15:00:51.833,2025-12-23 15:00:51.833,145.0μs
0x657fbeaf5b431a,41,134217728,4.753769999999999,2,[2],[1],1766473251861894,1766473251862047,153,134.22MB,2025-12-23 15:00:51.861,2025-12-23 15:00:51.862,153.0μs
0x657fbeaf5b431a,42,134217728,4.7357315,2,[2],[1],1766473251890205,1766473251890420,215,134.22MB,2025-12-23 15:00:51.890,2025-12-23 15:00:51.890,215.0μs
